name,sector,city,priority,careers_url,linkedin_company,notes
Rua Al-Madinah Holding,Mega-projet PIF,Médine,1,https://talent.ruaalmadinah.com/Careers/search,https://www.linkedin.com/company/ruaalmadinah/,PIF Vision 2030 flagship Madinah - score 10/10
Knowledge Economic City,Mega-projet,Médine,1,https://www.madinahkec.com/workwithkec,https://www.linkedin.com/company/madinahkec,20k jobs project Madinah
Taiba Investments,Real Estate,Médine,1,https://www.taiba.com.sa/en/who-we-are/careers,https://www.linkedin.com/company/taiba-investments,PIF Madinah real estate
Anwar Al Madinah Mövenpick,Hotel 5*,Médine,1,https://careers.accor.com/,https://www.linkedin.com/company/movenpick-hotels-resorts,Accor flagship Madinah
Pullman ZamZam Madinah,Hotel 5*,Médine,1,https://careers.accor.com/,https://www.linkedin.com/company/pullman-hotels-resorts,Accor face Haram
Sofitel Shahd Al Madinah,Hotel luxe,Médine,1,https://careers.accor.com/,https://www.linkedin.com/company/sofitel,Accor luxury
Novotel Madinah,Hotel 4*,Médine,1,https://careers.accor.com/,https://www.linkedin.com/company/novotel,Active Digital Marketing Manager 2026
Dar Al Iman InterContinental,Hotel 5*,Médine,1,https://careers.ihg.com/,https://www.linkedin.com/company/intercontinental-hotels-group,IHG flagship Madinah
InterContinental Dar Al Hijra,Hotel 5*,Médine,1,https://careers.ihg.com/,https://www.linkedin.com/company/intercontinental-hotels-group,IHG sister property
Crowne Plaza Madinah,Hotel 5*,Médine,1,https://careers.ihg.com/,https://www.linkedin.com/company/crowne-plaza-hotels-resorts,IHG cluster Madinah
Hilton Madinah,Hotel 5*,Médine,1,https://jobs.hilton.com/,https://www.linkedin.com/company/hilton,357 rooms
Hyatt Regency Madinah,Hotel 5*,Médine,1,https://careers.hyatt.com/,https://www.linkedin.com/company/hyatt,Hyatt premium Madinah
Marriott Madinah,Hotel 5*,Médine,1,https://careers.marriott.com/,https://www.linkedin.com/company/marriott-international,Marriott team Madinah
Sheraton Madinah,Hotel 5*,Médine,1,https://careers.marriott.com/,https://www.linkedin.com/company/sheraton,Marriott flagship Madinah
Le Méridien Madinah,Hotel 5*,Médine,1,https://careers.marriott.com/,https://www.linkedin.com/company/le-meridien,Marriott premium Madinah
The Oberoi Madina,Hotel luxe,Médine,1,https://oberoihotels.com/careers,https://www.linkedin.com/company/oberoi-hotels-resorts,Ultra-luxury
Shaza Al Madina,Hotel luxe,Médine,1,https://www.shazahotels.com/careers,https://www.linkedin.com/company/shaza-hotels,Sharia-compliant luxury
Elaf Taiba Hotel,Hotel,Médine,1,https://elaf.com.sa/careers,https://www.linkedin.com/company/elaf-group,Saudi chain
Almosafer (Seera Group),OTA,KSA,1,https://seera.sa/careers,https://www.linkedin.com/company/almosafer,#1 KSA travel partnership Madinah MRDA
Mawasim (Seera/Almosafer),Travel,KSA,1,https://seera.sa/careers,https://www.linkedin.com/company/mawasim,Hajj/Umrah international
Bin Dawood Holding,Retail,Médine/Makkah,1,https://bindawoodholding.com/careers,https://www.linkedin.com/company/bindawood-holding,Groupe familial Médine/Makkah
NEOM,Mega-projet PIF,NEOM,1,https://careers.neom.com/careers,https://www.linkedin.com/company/neom,905 jobs actifs LinkedIn KSA
Red Sea Global,Mega-projet PIF,Red Sea,1,https://careers.theredsea.sa/,https://www.linkedin.com/company/red-sea-global,EMEA Recruitment Team of the Year
Royal Commission for AlUla,Mega-projet,AlUla,1,https://careerssf.rcu.gov.sa/,https://www.linkedin.com/company/royal-commission-for-alula,Heritage UNESCO Hegra
Diriyah Gate Development Authority,Mega-projet PIF,Riyadh,1,https://www.dgda.gov.sa/en/careers,https://www.linkedin.com/company/dgda-sa,At-Turaif UNESCO heritage
Riyadh Air,Aviation,Riyadh,1,https://careers.riyadhair.com/,https://www.linkedin.com/company/riyadh-air,Lancement 2026 new flag carrier
Qiddiya,Mega-projet PIF,Riyadh,1,https://careers.qiddiya.com/,https://www.linkedin.com/company/qiddiya,Entertainment city PIF
New Murabba,Mega-projet PIF,Riyadh,1,https://www.newmurabba.com/careers,https://www.linkedin.com/company/new-murabba,The Mukaab giga-quartier
Saudi Tourism Authority,Gouvernement,Riyadh,1,https://careers.sta.gov.sa/,https://www.linkedin.com/company/saudi-tourism-authority,Visit Saudi Vision 2030
Saudia Airlines,Aviation,KSA,1,https://saudia.com/careers,https://www.linkedin.com/company/saudia,Hub Madinah PMIA
noon,E-commerce,Riyadh,1,https://careers.noon.com/,https://www.linkedin.com/company/noon,#1 KSA e-commerce
Tamara,FinTech BNPL,Riyadh,2,https://tamara.co/careers,https://www.linkedin.com/company/tamara,Saudi BNPL leader
Ru'Ya GCC,Agence digitale,Médine,1,,https://www.linkedin.com/company/ruyagcc,HQ Médine = fit parfait
