name,sector,priority,website,email,city,source,validation_status,notes
"Riyadh Food Industries Co. (Riyadh Foods)","Food Manufacturing","1","https://riyadhfoods.com/pages/contact-us","info@riyadhfoods.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Saudi Ceramics Company","Building Materials Manufacturing","1","https://www.saudiceramics.com/en/contact-us","info@saudiceramics.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Al Faisaliah Group (AFG)","Diversified Investment Group","1","https://www.alfaisaliah.com/","afg@afg.com.sa","Riyadh","big-sweep","MX_PENDING","Head of Marketing | cv:generic"
"Saudi Modern Company","Diversified (Food / Real Estate)","1","https://www.saudimodern.com/contact-us/","info@saudimodern.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Kingdom Holding Company","Investment Management","1","https://kingdom.com.sa/contact/","careers@kingdom.com.sa","Riyadh","big-sweep","MX_PENDING","Senior Marketing / Communications Manager | cv:generic"
"Naseej (Arabian Advanced Systems)","Technology / EdTech Software","1","https://naseej.com/contact-us/","info@naseej.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"AlJammaz Group","Technology / IT Distribution","1","https://www.aljammaz.com/contact","info@aljammaz.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Astra Industrial Group","Industrial / Pharmaceuticals","1","https://www.astra.com.sa/contact-us/","riyadh@astra.com.sa","Riyadh","big-sweep","MX_PENDING","Senior Marketing Manager | cv:generic"
"Al-Khaleej Training and Education","Education / Training","1","https://alkhaleej.com.sa/en/contact","investor.relations@alkhaleej.com.sa","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"The Venue Jeddah Corniche","Hospitality","1","https://www.the-venue.com/career/","hr@the-venue.com","Jeddah","big-sweep","MX_PENDING","Marketing / Sales & Marketing Manager | cv:hospitality"
"Caffeine Lab Coffee Roasters","Retail / F&B (specialty coffee)","1","https://caffeinelab.me/pages/careers","careers@caffeinelab.me","Jeddah","big-sweep","MX_PENDING","Marketing Manager | cv:brand"
"Hadya Group","Real Estate, Hospitality & Facilities","1","https://www.hadya.com/","info@hadya.com","Jeddah","big-sweep","MX_PENDING","Group Marketing Manager | cv:generic"
"Savola Group (Savola World)","FMCG","1","https://www.savolaworld.com/en/contact_us.php","info@savolaworld.com","Jeddah","big-sweep","MX_PENDING","Senior Marketing Manager | cv:brand"
"Dr. Samir Abbas Hospital","Healthcare","1","https://dsah.sa/en/careers","careers@dsah.sa","Jeddah","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"International Medical Center (IMC)","Healthcare","1","https://www.imc.med.sa/en/contact-us","IMCinfo@imc.med.sa","Jeddah","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Zahid Group","Conglomerate / Trading","1","https://www.zahid.com/contact/","info@zahid.com","Jeddah","big-sweep","MX_PENDING","Group / Senior Marketing Manager | cv:generic"
"Attieh Steel (Attieh Group)","Steel / Industrial Trading","1","https://www.attiehgroup.com/contact_us","info@attiehgroup.com","Jeddah","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Badr Bugshan Group","Conglomerate / Trading","1","http://www.badrbugshan.com/contact","info@badrbugshan.com","Jeddah","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"JESCO (Jubail Energy Services Company)","Petrochemicals / Manufacturing","1","https://www.jesco.com.sa/CAREER","recruitment@jesco.com.sa","Jubail","big-sweep","MX_PENDING","Senior Marketing / Communications Manager | cv:generic"
"Petrochem (Petrochemical Conversion Company)","Petrochemical","1","https://petrocheme.com/careers","jobs@petrocheme.com","Jubail","big-sweep","MX_PENDING","Marketing / Corporate Communications Manager | cv:generic"
"Al-Hoty Company (AHC)","Industrial testing & inspection services","1","https://www.al-hoty.com/career/","admin@al-hoty.com","Al Khobar","big-sweep","MX_PENDING","Marketing / Business Development Manager | cv:generic"
"BoldTarget General Contracting","Contracting / Construction","1","https://boldtarget.sa/","info@boldtarget.sa","Al Khobar","big-sweep","MX_PENDING","Senior Marketing Manager | cv:generic"
"Abdulmohsen Al Tamimi Contracting","Contracting / Construction","1","https://tamimicontracting.com/en/job-opportunities","info@tamimi.sa","Al Khobar","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:generic"
"Zamil Inspection & Technical Services","Industrial inspection services","1","https://zamil.sa/careers/","recruitments@zamil.sa","Dammam","big-sweep","MX_PENDING","Marketing / BD Manager | cv:generic"
"Transgulf Readymix Concrete","Construction materials / Ready-mix","1","https://transgulfreadymix.com/careers/","recruitment@tgrmcc.com","Dammam","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Harbico","Contracting / Engineering","1","https://www.expatriates.com/classifieds/khobar/jobs/","career@harbico.com","Dammam","big-sweep","MX_PENDING","Senior Marketing / BD Manager | cv:generic"
"Takara Saudi","Food & Beverage / QSR","1","https://www.expatriates.com/classifieds/khobar/jobs/","hrd@takarasaudi.com","Al Khobar","big-sweep","MX_PENDING","Marketing Manager | cv:generic"
"Zamil O&M","Industrial operations & maintenance","1","https://careers.zamil.com/","jobs@zamil-om.com","Dammam","big-sweep","MX_PENDING","Marketing / Communications Manager | cv:generic"
"Khobar Contractors Company (KCC)","Petroleum equipment / Contracting","1","https://khobarcontractors.com/","info@khobarcontractors.com","Dammam","big-sweep","MX_PENDING","Marketing / BD Manager | cv:generic"
"Arabian Oud","Beauty & Fragrance retail","1","https://us.arabianoud.com/en/Jobs%20chances/page-1537414279","recruitment@arabianoud.com","Riyadh","big-sweep","MX_PENDING","Marketing / Brand Manager | cv:brand"
"Al Tazaj Fakieh BBQ Chicken","F&B / QSR","1","https://www.linkedin.com/company/altazaj","careers@taza.com.sa","Jeddah","big-sweep","MX_PENDING","Senior Marketing Manager | cv:brand"
"Daily Food Company (Maestro Pizza)","F&B / QSR","1","https://dailyfoodsa.com/careers.html","careers@dailyfoodsa.com","Riyadh","big-sweep","MX_PENDING","Marketing Manager | cv:brand"
"DRE Homes (DRE Real Estate)","Real Estate","2","https://drehomes.com/careers","newcareer@drehomes.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager | cv:brand | country:UAE"
"GCC Marketing","Agency","2","https://www.gcc-marketing.com/careers/","careers@gcc-marketing.com","Dubai","big-sweep","MX_PENDING","Performance/Digital Marketing Lead | cv:generic | country:UAE"
"GPS Marketing Agency","Agency","2","https://www.gpsmarketing.agency/careers/","Hr@gpsmarketing.agency","Dubai","big-sweep","MX_PENDING","Senior Social/Digital Marketing Manager | cv:generic | country:UAE"
"Cristal Group (Cristal Hospitality)","Hospitality","2","https://www.cristalhospitality.com/en/careers/","hra.chad@cristalhospitality.com","Abu Dhabi","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:hospitality | country:UAE"
"Verve Management","Events","2","https://verve-management.com/careers/","info@verve-management.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager | cv:brand | country:UAE"
"BinHendi Enterprises","Retail","2","https://www.dubai-forever.com/restaurant-jobs-in-dubai.html","bhcareers@binhendi.com","Dubai","big-sweep","MX_PENDING","Senior Brand/Marketing Manager | cv:brand | country:UAE"
"Jones the Grocer UAE","Hospitality","2","https://www.dubai-forever.com/restaurant-jobs-in-dubai.html","recruitment-uae@jonesthegrocer.com","Dubai","big-sweep","MX_PENDING","Brand/Marketing Manager | cv:hospitality | country:UAE"
"The Noodle House","Hospitality","2","https://www.dubai-forever.com/restaurant-jobs-in-dubai.html","info@thenoodlehouse.com","Dubai","big-sweep","MX_PENDING","Marketing Manager | cv:hospitality | country:UAE"
"Paramount Hotel Dubai","Hospitality","2","https://www.paramounthotelsdubai.com/dubai/casting-careers","careers@paramounthotelsdubai.com","Dubai","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:hospitality | country:UAE"
"Dubai International Hotel","Hospitality","2","https://jobsarchives.com/careers/dubai-international-hotel/","careers@dihdxb.ae","Dubai","big-sweep","MX_PENDING","Marketing Director | cv:hospitality | country:UAE"
"Max Events Dubai","Events","2","https://maxeventsdubai.com/careers/","recruitment.maxeventsdubai@gmail.com","Dubai","big-sweep","MX_PENDING","Marketing Manager | cv:brand | country:UAE"
"UV Events DXB","Events","2","https://uveventsdxb.com/career/","queries@uveventsdxb.com","Dubai","big-sweep","MX_PENDING","Marketing Executive/Manager | cv:brand | country:UAE"
"Prism Digital (Prism-ME)","Agency","2","https://www.prism-me.com/careers","sales@prism-me.com","Dubai","big-sweep","MX_PENDING","Senior Digital Marketing Manager | cv:generic | country:UAE"
"Digital Links Pro","Agency","2","https://digitallinkspro.com/careers/","hello@digitallinkspro.com","Dubai","big-sweep","MX_PENDING","Senior Digital Marketing Manager | cv:generic | country:UAE"
"Moonbox","Agency","2","https://www.moonbox.ae/careers/","careers@moonbox.ae","Dubai","big-sweep","MX_PENDING","Senior Marketing/Brand Manager | cv:generic | country:UAE"
"WGG Advertising Agency","Agency","2","https://wgg-agency.com/vacancies","hr@wgg-agency.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager | cv:generic | country:UAE"
"Luxfolio Real Estate","Real Estate","2","https://luxfoliorealestate.ae/careers/","info@luxfoliorealestate.ae","Dubai","big-sweep","MX_PENDING","Marketing Manager | cv:brand | country:UAE"
"Cravia (Zaatar w Zeit, Cinnabon, Seattle's Best Coffee, Carvel)","F&B franchise","2","https://cravia.com/job-openings/","careers@cravia.com","Dubai","big-sweep","MX_PENDING","Head of Marketing / Senior Brand Marketing Manager | cv:brand | country:UAE"
"Rivoli Group","Luxury retail (watches, jewellery, fashion)","2","https://www.rivoligroup.com/careers","hr@rivoligroup.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager / Retail Brand Marketing | cv:brand | country:UAE"
"Sunset Hospitality Group","Hospitality","2","https://www.sunsethospitality.com/careers","info@sunsethospitality.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager (Lifestyle / F&B) | cv:hospitality | country:UAE"
"Al Islami Foods","F&B / FMCG (halal food)","2","https://alislamifoods.com/careers/","careers@alislamifoods.com","Dubai","big-sweep","MX_PENDING","Senior Marketing / Brand Manager | cv:brand | country:UAE"
"Champs Sports Club","Fitness","2","https://www.gocareer.club/2026/05/fitness-manager-jobs-in-dubai-uae.html","recruitment@champs-sportsclub.com","Dubai","big-sweep","MX_PENDING","Marketing Manager (Sports & Fitness Club) | cv:brand | country:UAE"
"HMH - Hospitality Management Holdings","Hospitality","2","https://www.hmhhospitality.com/","careers@hmhhospitality.com","Dubai","big-sweep","MX_PENDING","Senior Marketing Manager (Hotels) | cv:hospitality | country:UAE"
"Al Mana Media (Saatchi & Saatchi / Publicis Media Qatar)","Agencies","2","https://www.almanamedia.com/en/pages/careers","careers@almanamedia.com","Doha","big-sweep","MX_PENDING","Marketing / Communications Manager | cv:generic | country:Qatar"
"Abu Issa Holding","Retail","2","https://www.abuissa.com/careers/","jobs@abuissa.com","Doha","big-sweep","MX_PENDING","Marketing Manager / Brand Manager | cv:brand | country:Qatar"
"United Development Company (UDC / The Pearl-Qatar)","Real Estate","2","https://udcqatar.com/Contact-Us","marketing@udcqatar.com","Doha","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:generic | country:Qatar"
"Jaidah Group","Retail / Family Group","2","https://jaidah.com/careers","careers@jaidah.com","Doha","big-sweep","MX_PENDING","Marketing Manager | cv:brand | country:Qatar"
"Mannai Corporation","Retail / Trade","2","https://mannai.com/recruitment/","careers@mannai.com","Doha","big-sweep","MX_PENDING","Marketing Manager | cv:brand | country:Qatar"
"Katara Hospitality","Hospitality","2","https://www.katarahospitality.com/career/","info@katarahospitality.com","Lusail","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:hospitality | country:Qatar"
"Aamal Company","Retail / Conglomerate","2","https://www.aamal.com.qa/en/careers","careers@aamal.com.qa","Doha","big-sweep","MX_PENDING","Marketing Manager | cv:generic | country:Qatar"
"The Pearl Gates","Real Estate","2","https://www.careers-page.com/the-pearl-gates-2","tpg-careers@gmail.com","Doha","big-sweep","MX_PENDING","Marketing & Advertising Manager | cv:generic | country:Qatar"
"Salam International Investment","Retail","2","https://siis.com/contact-us/","hr@salaminternational.com","Doha","big-sweep","MX_PENDING","Marketing Manager | cv:brand | country:Qatar"
"Gulf Hotels Group","Hospitality","2","https://www.gulfhotelbahrain.com/careers-opportunities","recruitment@gulfhotelsgroup.com","Manama","big-sweep","MX_PENDING","Director of Marketing | cv:hospitality | country:Bahrain"
"The K Hotel","Hospitality","2","https://www.thekhotel.com/careers/","hiring@thekhotel.com","Juffair","big-sweep","MX_PENDING","Marketing & Communications Manager | cv:hospitality | country:Bahrain"
"Safir Hotels & Resorts","Hospitality","2","https://www.safirhotels.com/en/careers","Jobs@safirhotels.com","Kuwait City","big-sweep","MX_PENDING","Director of Sales & Marketing | cv:hospitality | country:Kuwait"
"Kuwait Hotels Company","Hospitality","2","https://khc.com.kw/careers/","info@khc.com.kw","Kuwait City","big-sweep","MX_PENDING","Marketing Manager | cv:hospitality | country:Kuwait"
"Khimji Ramdas Group","Retail & Conglomerate","2","https://www.khimji.com/careers/","hrd@kr.om","Muscat","big-sweep","MX_PENDING","Group Head of Marketing | cv:generic | country:Oman"
"Kout Food Group","F&B","2","https://www.koutfood.com/careers","info@koutfood.com","Kuwait City","big-sweep","MX_PENDING","Head of Marketing | cv:generic | country:Kuwait"
"One PM Holding (Pret A Manger Kuwait)","F&B / Retail","2","https://www.pret.com/en-KW/jobs","careers@onepmholding.com","Kuwait City","big-sweep","MX_PENDING","Senior Marketing Manager | cv:generic | country:Kuwait"
"Fine Foods Catering","F&B","2","https://ffcatering.com/careers.php","info@ffcatering.com","Manama","big-sweep","MX_PENDING","Marketing Manager | cv:generic | country:Bahrain"
"Deepmark","Agency","2","https://thedeepmark.com/contact/","hello@thedeepmark.com","Manama","big-sweep","MX_PENDING","Brand / Account Director | cv:brand | country:Bahrain"
"Almoayyed Creative Agency","Agency","2","https://almoayyedca.com/","info@almoayyedca.com","Manama","big-sweep","MX_PENDING","Marketing / Account Director | cv:brand | country:Bahrain"
"Oman Advertising Agency (OmanAd)","Agency","2","https://www.omanad.net/","info@omanad.net","Muscat","big-sweep","MX_PENDING","Marketing Communications Lead | cv:brand | country:Oman"
"Trifoil Advertising & Publishing","Agency","2","https://trifoilad.com/","info@trifoilad.com","Muscat","big-sweep","MX_PENDING","Marketing / Account Director | cv:brand | country:Oman"
"BrandOne","Agency","2","https://www.brandone-oman.com/","mail@brandone-oman.com","Muscat","big-sweep","MX_PENDING","Brand Strategist / Marketing Lead | cv:brand | country:Oman"
"Poixel","Agency","2","https://www.poixel.com/","info@poixel.com","Kuwait City","big-sweep","MX_PENDING","Marketing / Account Director | cv:brand | country:Kuwait"
"Ghaliah","Agency","2","https://www.ghaliah.com/","info@ghaliah.com","Kuwait City","big-sweep","MX_PENDING","Marketing / Account Director | cv:brand | country:Kuwait"
"Smart Target","Agency","2","https://smarttargetkwt.com/","hello@smarttargetkwt.com","Kuwait City","big-sweep","MX_PENDING","Marketing / Account Director | cv:brand | country:Kuwait"
"Bowaba","Agency","2","https://bowaba.com/","hello@bowaba.com","Kuwait City","big-sweep","MX_PENDING","Brand / Marketing Lead | cv:brand | country:Kuwait"
