name,sector,priority,website,email,city,source,validation_status,notes
Verge Film Productions,Film & animation production (KSA market),2,https://www.verge.productions/,careers@verge.productions,Dubai (operates across KSA),sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:generic | country:UAE
Gloria Hotels & Resorts,Hospitality,2,https://gloria-hotels.com/careers/,gloria.management@gloria-hotels.com,Dubai,sourcing-gulf1,MX_PENDING,Director of Marketing & Communications | cv:hospitality | country:UAE
Park Regis Kris Kin Hotel Dubai,Hospitality,2,https://www.parkregiskriskin.ae/careers,prkkcareers@parkregishotels.com,Dubai,sourcing-gulf1,MX_PENDING,Director of Sales & Marketing | cv:hospitality | country:UAE
Nehal Hotel,Hospitality,2,https://www.nehalhotel.com/careers,careers@nehalhotel.com,Abu Dhabi,sourcing-gulf1,MX_PENDING,Sales & Marketing Manager | cv:hospitality | country:UAE
Orient Planet Group,PR & Marketing Agency,2,https://www.orientplanet.com/careers.html,hr@orientplanet.com,Dubai,sourcing-gulf1,MX_PENDING,Account Director / Senior Communications Consultant (Arabic-French-English) | cv:generic | country:UAE
Element 8,Digital Marketing Agency,2,https://www.element8.ae/careers,careers@element8.ae,Dubai,sourcing-gulf1,MX_PENDING,Digital Marketing Director / Growth Lead | cv:generic | country:UAE
Centric DXB,Digital Marketing Agency,2,https://www.centric.ae/careers,careers@centricdxb.com,Dubai,sourcing-gulf1,MX_PENDING,Marketing / Account Director | cv:generic | country:UAE
Global Media Insight,Digital Marketing Agency,2,https://www.globalmediainsight.com/careers/,liz@globalmedia.ae,Dubai,sourcing-gulf1,MX_PENDING,Senior Digital Marketing Manager | cv:generic | country:UAE
GTECH (gtechme.com),Digital Marketing & Technology Agency,2,https://www.gtechme.com/careers/,gtech@jobs.workablemail.com,Dubai,sourcing-gulf1,MX_PENDING,Digital Marketing Manager | cv:generic | country:UAE
DRE Real Estate (drehomes.com),Real Estate,2,https://drehomes.com/careers,newcareer@drehomes.com,Dubai,sourcing-gulf1,MX_PENDING,Head of Marketing | cv:generic | country:UAE
Betterhomes,Real Estate,2,https://www.bhomes.com/en/careers,oliver.wilson@bhomes.com,Dubai,sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:generic | country:UAE
