job_title,company,job_url,submitted_at,status
"Marketing Manager","Innovative Solutions SA","https://www.linkedin.com/jobs/view/4423356759/","2026-06-04","submitted"
"Marketing Manager","Hire Fellows","https://www.linkedin.com/jobs/view/4399248332/","2026-06-04","submitted"
"Marketing Manager","COGNNA","https://www.linkedin.com/jobs/view/4423505181/","2026-06-04","submitted"
"Growth Manager - Insights & Analytics","Jeeny","https://www.linkedin.com/jobs/view/4397707836/","2026-06-04","submitted"
"Marketing Communications Manager","Talent Blueprint FZ LLC","https://www.linkedin.com/jobs/view/4423504079/","2026-06-04","submitted"
"Product Marketing Manager, AI & Automation","Wafeq","https://www.linkedin.com/jobs/view/4420199433/","2026-06-04","submitted"
"Sales Marketing Manager - Real Estate","Confidential","https://www.linkedin.com/jobs/view/4412880747/","2026-06-04","submitted"
"Marketing Director UAE","The Global Search Company","https://www.linkedin.com/jobs/view/4422939997/","2026-06-04","submitted"
"Senior Partner Marketing & Program Builder","Napster Corp.","https://www.linkedin.com/jobs/view/4418771513/","2026-06-04","submitted"
"Senior Marketing Manager","Professional Communication","https://www.linkedin.com/jobs/view/4424074376/","2026-06-04","submitted"
