timestamp,company,email,persona,result,details
2026-05-29 18:17:28,Shaza Al Madina,info@shazahotels.com,hiring_manager,ok,sent
2026-05-29 18:17:29,Almosafer (Seera Group),careers@seera.sa,hr_director,ok,sent
2026-05-29 18:17:31,Mawasim (Seera/Almosafer),hr@seera.sa,hr_director,ok,sent
2026-05-29 18:17:32,NEOM,careers@neom.com,hr_director,ok,sent
2026-05-29 18:17:34,Red Sea Global,careers@redseaglobal.com,hr_director,ok,sent
2026-05-29 18:17:35,Diriyah Gate Development Authority,careers@dgda.gov.sa,hr_director,ok,sent
2026-05-29 18:17:36,Riyadh Air,careers@riyadhair.com,hr_director,ok,sent
2026-05-29 18:17:38,Qiddiya,careers@qiddiya.com,hr_director,ok,sent
2026-05-29 18:17:39,Saudia Airlines,careers@saudia.com,hr_director,ok,sent
2026-05-29 18:17:41,noon,hr@noon.com,hr_director,ok,sent
2026-05-29 18:17:42,Ru'Ya GCC,hello@ruyagcc.com,hiring_manager,ok,sent
2026-05-29 18:17:43,SEVEN,careers@seven.sa,hr_director,ok,sent
2026-05-29 18:17:45,Diriyah Company,careers@diriyah.sa,hr_director,ok,sent
2026-05-29 18:17:47,Nusuk Platform,info@nusuk.sa,hiring_manager,ok,sent
2026-06-05 09:35:25,Mouwasat Medical Services,hr@mouwasat.com,hr_director,ok,sent
2026-06-05 09:35:26,Saudi German Health,careers@saudigerman.com,hr_director,ok,sent
2026-06-05 09:35:27,flynas,recruitment@flynas.com,hr_director,ok,sent
2026-06-05 09:35:29,Abdullah Al Othaim Markets,hr@othaimmarkets.com,hr_director,ok,sent
2026-06-11 11:51:29,Sara United Company,mnagah@sara.com.sa,hiring_manager,ok,sent
2026-06-11 11:51:30,Anjum Hotel Makkah,HR@anjumhotels.com,hr_director,ok,sent
